serial,wage,nonlaborinc,hoursworked
1700,28.846153,71123,2600
1701,15.5,0,2000
1702,1.9230769,460551,520
1704,52,26795,2500
1705,9.0497742,18792,1768
1706,29.326923,40098,2080
1714,11.057693,0,2080
1716,11.094674,735,2704
1718,24.038462,45005,2080
1719,12.980769,0,2080
1725,0,15020,3120
1727,22.596153,450,2080
1737,19.940901,18264,2132
1740,48.076923,90381,2080
1741,30.612246,91073,1764
1742,42.467949,15169,2496
1745,25.48077,14416,2080
1746,12.5,122860,2000
1748,62.5,100,2080
1752,0,50840,450
1756,29.326923,5,2080
1758,32.051281,44272,2340
1759,29.91453,26,2340
1760,17.927,5,1000
1761,11.666667,18055,1200
1765,72.650002,83698,2340
1766,37.597115,31296,2080
1767,24.038462,17567,2080
1768,19.736841,0,1976
1769,51.282051,17070,2340
1771,22.596153,47802,2080
1772,12.980769,22006,2080
1780,18.26923,1890,2080
1794,15,307,2000
1797,21.452991,33825,2340
1803,18.761726,54,2132
1804,18.461538,0,1300
1805,15.384615,11180,2080
1806,39,85,2000
1807,9.1346149,8793,2080
1808,23.076923,89145,2080
1820,38.46154,0,2600
1823,32.051281,126803,3120
1824,30.76923,104009,2080
1828,46.153847,164123,2600
1829,38.46154,31004,2080
1831,30.256411,1442,2340
1838,15,32140,2080
1844,15.2,11243,2500
1845,40.384617,31517,2080
1849,0,87053,2080
1858,11,123784,600
1865,60,226016,2000
1866,50.48077,105378,2080
1869,7.1225071,9216,1404
1872,20,15024,2600
1877,33.333332,29165,2340
1880,0,110150,1040
1882,11.865794,3625,2444
1884,34.134617,39017,2080
1889,23.75,0,1600
1891,10.316937,39702,2704
1892,9.7200003,2175,1300
1893,25.491949,865,2236
1898,0,42035,2080
1899,29.647436,4239,2496
1900,21.367521,36001,2340
1902,19.807692,45002,2080
1903,25,41692,2080
1907,18.75,215,2080
1911,14.957265,53386,1404
1912,33.216782,71324,1144
1914,0,50006,3120
1916,15,127206,2080
1920,64.903847,65075,2080
1922,4.625,10088,160
1923,23.076923,32,2600
1924,6.8333335,21006,3000
1925,46.153847,21700,2080
1931,48.076923,2012,2080
1934,41.958042,9762,2860
1939,8.2464285,23388,1680
1941,14.286813,21961,1820
1943,33.653847,34389,2080
1947,30.594406,32800,2288
1948,74.786324,118,2340
1950,13.461538,25,2080
1960,13.076923,35700,2600
1963,44.23077,94,2080
1966,19.23077,0,2080
1969,38.46154,11275,2600
1970,18.028847,64695,2080
1971,6.9444447,75033,1440
1974,48.076923,50010,2080
1977,55.76923,57715,2600
1979,28.076923,28520,2600
1980,50.48077,80900,2080
1982,13.663968,1,1976
1983,40.064102,56770,1248
1985,13.873627,37,2912
1986,38.46154,50012,2340
1990,12.019231,0,2080
1992,15.865385,40010,2080
1994,3.3653846,123182,2080
1996,22.115385,41137,2080
2003,25.517752,49402,2704
2006,23.076923,126080,2080
2008,71.153847,3650,2080
2010,10.576923,0,2080
2011,65.705132,42767,3120
2012,65.862503,30080,2080
2014,20.192308,47130,2080
2015,21.634615,80024,2080
2016,36.057693,54585,2080
2019,0,15038,2704
2020,29.91453,0,1872
2025,72.115387,35004,2080
2026,27.884615,121147,2080
2028,17.788462,0,2080
2029,42.307693,5520,2600
2030,16,76100,2080
2043,146.63461,0,416
2051,24.038462,12600,2080
2053,0,110000,2600
2058,69.930069,19502,2860
2067,16.826923,18003,2080
2068,34.615383,-2000,2600
2070,7.5910931,2000,3952
2071,19.23077,47006,2600
2076,9.9358978,11713,1560
2078,50,50032,2000
2082,34.054485,140815,2496
2084,17.948717,44478,2340
2086,31.25,210,2080
2087,52.884617,3,2080
2089,9,2,900
2091,57.692307,67066,2600
2092,65.769234,110194,2600
2096,35.096153,10876,2080
2097,44.117645,74630,2040
2098,33.653847,154653,2080
2099,5.4166665,105700,1200
2100,0,106060,3640
2103,34.615383,112916,2080
2105,45.673077,67190,2080
2107,72.115387,300,2080
2109,67.307693,69626,2080
2111,19.667831,36088,2288
2112,19.58042,39001,2860
2113,57.692307,151,2600
2116,96.153847,265,2080
2117,8.5,7800,1820
2118,34.722221,56252,1872
2119,65.384613,37256,2600
2120,0,122086,2080
2121,44.615383,73738,2600
2122,24.038462,6000,2080
2123,48.076923,116889,2080
2124,64.903847,1803,2080
2125,36.53846,28678,2080
2126,72.115387,71452,1248
2128,20.673077,34500,2080
2131,0,41200,3120
2132,48.076923,100504,2080
2133,19.23077,118005,260
2134,72.115387,67004,2080
2135,33.566086,128960,2860
2136,6.4102564,141030,1560
2168,14.903846,5,2080
2175,20.229807,829,2080
2184,44.471153,176084,2080
2190,62.5,100120,2080
2195,12.784091,3350,704
2201,18.75,60,2080
2203,20,244,2600
2204,62.937061,48461,2860
2208,17.069231,135,2080
2220,37.01923,19487,2080
2221,18.26923,6,2080
2224,15.384615,19210,1560
2226,27.111111,5352,2250
2227,18.26923,27022,1560
2228,27.777779,49008,1872
2229,0,108435,2080
2230,48.076923,11400,3120
2231,9.6000004,43624,1250
2232,29.82906,13043,2340
2233,50.48077,81223,2080
2234,17.482517,28570,2860
2237,19.23077,24463,2080
2243,15.061539,59501,1300
2251,0,32800,2860
2268,0,37390,4160
2269,87.344032,34800,2805
2273,43.26923,54425,2080
2274,8.6538458,2548,2080
2275,19.23077,54838,2080
2291,43.26923,13491,2080
2296,15.384615,0,2080
2316,18.26923,25002,2080
2317,0,25276,2600
2329,12.087913,89079,1820
2331,19.23077,173,2080
2333,50,23000,900
2342,15.384615,0,2080
2343,7.2115383,0,2080
2344,9.659091,31521,880
2345,11.538462,8001,2080
2346,48.076923,4681,2080
2347,14.423077,33,2080
2348,50.48077,52124,2080
2352,19.23077,53068,2080
2381,8.9743586,69977,1560
2385,11,21,2000
2387,16.826923,80010,2080
2388,10.430839,48019,2205
2393,21.785715,6919,1960
2398,43.243244,25000,1850
